"UserId","Category","Num_books_for_Category","Spending"
"User_00326","Bambini e Ragazzi",1,10
"User_00327","Bambini e Ragazzi",2,117
"User_00328","Bambini e Ragazzi",2,31
"User_00329","Bambini e Ragazzi",1,55
"User_00330","Bambini e Ragazzi",1,14
"User_00331","Bambini e Ragazzi",1,40
"User_00332","Bambini e Ragazzi",1,1
"User_00333","Bambini e Ragazzi",1,2
"User_00334","Bambini e Ragazzi",1,10
"User_00335","Bambini e Ragazzi",1,4
"User_00336","Bambini e Ragazzi",1,40
"User_00337","Bambini e Ragazzi",1,55
"User_00338","Bambini e Ragazzi",2,12
"User_00339","Bambini e Ragazzi",1,60
"User_00340","Bambini e Ragazzi",2,32
"User_00341","Bambini e Ragazzi",1,40
"User_00342","Bambini e Ragazzi",1,55
"User_00343","Bambini e Ragazzi",1,10
"User_00344","Bambini e Ragazzi",1,2
"User_00345","Bambini e Ragazzi",1,16
"User_00346","Bambini e Ragazzi",2,69
"User_00347","Bambini e Ragazzi",1,44
"User_00348","Bambini e Ragazzi",4,9
"User_00349","Bambini e Ragazzi",17,601
"User_00350","Bambini e Ragazzi",1,6
"User_00351","Bambini e Ragazzi",2,16
"User_00352","Bambini e Ragazzi",1,20
"User_00353","Bambini e Ragazzi",1,30
"User_00354","Bambini e Ragazzi",1,36
"User_00355","Bambini e Ragazzi",1,18
"User_00356","Bambini e Ragazzi",1,2
"User_00357","Bambini e Ragazzi",1,64
"User_00358","Bambini e Ragazzi",1,55
"User_00359","Bambini e Ragazzi",1,10
"User_00360","Bambini e Ragazzi",1,10
"User_00361","Bambini e Ragazzi",1,9
"User_00362","Bambini e Ragazzi",1,8
"User_00363","Bambini e Ragazzi",1,20
"User_00364","Bambini e Ragazzi",1,15
"User_00365","Bambini e Ragazzi",1,55
"User_00366","Bambini e Ragazzi",1,50
"User_00367","Bambini e Ragazzi",1,65
"User_00368","Bambini e Ragazzi",1,2
"User_00369","Bambini e Ragazzi",1,28
"User_00370","Bambini e Ragazzi",2,82
"User_00371","Bambini e Ragazzi",1,10
"User_00372","Bambini e Ragazzi",1,2
"User_00373","Bambini e Ragazzi",1,32
"User_00374","Bambini e Ragazzi",1,32
"User_00375","Bambini e Ragazzi",1,55
"User_00376","Bambini e Ragazzi",1,10
"User_00377","Bambini e Ragazzi",1,7
"User_00378","Bambini e Ragazzi",1,48
"User_00379","Bambini e Ragazzi",1,10
"User_00380","Bambini e Ragazzi",1,14
"User_00381","Bambini e Ragazzi",1,20
"User_00382","Bambini e Ragazzi",1,24
"User_00383","Bambini e Ragazzi",1,10
"User_00384","Bambini e Ragazzi",1,4
